en,ks,domain
"It's high time you should get your vaccine","یہیہ چھٗ وقت ژے پَزی ویکسیٖن لگاوٗن ۔","conversation"
"I will do it today itself.","بہٕ کرٕ یہِ أزِِی ۔","conversation"
"Thanks for clearing my misconception.","میٲنۍ غلط فہمی دوٗر کرنہٕ خٲطرٕ شکریہِ","conversation"
"Hello, sir, where can I register a complaint?","اداب جناب، بہٕ کتٮ۪تھ ہیٚکہٕ اكھ شِکایت درج کٔرِتھ؟","conversation"
"What kind of complaint do you have?","ژےٚ كمہِ قٕسمٕچہِ شِکایت چھیہ ؟","conversation"
"Sir, our village is not getting clean drinking water.","جناب، سٲنِس گامَس چھُنہٕ صاف چینہٕ آب مِیلان۔","conversation"
"The government has promised us clean water, but we are not getting it in our village.","حکوٗمتن چھُ اسہِ صاف آبُک وادٕ کوٚرمُت، مگر اسہِ چھُنہٕ پننِس گامَس مَنٛز مِلان۔","conversation"
"No inspection happened in your village till now?","تہنٛدِس گامَس مَنٛز چھُنا از تام کانٛہہ معٲینہٕ گوٚومُت؟","conversation"
"No, sir, he has not visited our village for months.","نہ، جناب، تٔمِس وٲت رٮ۪تہٕ واد سٲنِس گامَس مَنٛز نِنَس۔","conversation"
"Which village are you from?","تۄہہ کمہِ گامہٕ پٮ۪ٹھ چھِو؟","conversation"
"Sir, I am from Mahuvariya village.","جناب بہٕ چھُس مہوواریہ گامہٕ پٮ۪ٹھ۔","conversation"
"And who is your village head there?","تہٕ تۄہہِ کُس چھِو تتہِ گامہ زِیوٗٹھ ؟","conversation"
"Sir, I am the village head there.","جناب، بہٕ چھُس تتہِ گامُک زِیُوٹھ ۔","conversation"
"Ok, sir, please tell me about your complaint in detail.","ٹھیٖک، جناب، مہربٲنی کٔرِتھ ؤنِو مےٚ پننہِ شکایت تفصیٖل سان۔","conversation"
"I will forward it to the supervisor of the water supply department.","بہٕ سوزٕ یہ واٹر سپلائی محکَمہٕ کِس سپروائزرس۔","conversation"
"Sir, first of all, we got the water supply after a lot of hassle.","جناب، گۄڈنیتھ میج اسہِ آبہٕ سپلائی سٮ۪ٹھاہ پریشٲنی پتہٕ۔","conversation"
"We had to come to this office regularly for that.","تمہِ خٲطرٕ پیٚو اسہِ لگاتار یتھ دفترس مَنٛز یُن۔","conversation"
"We even had to stage a protest in front of this office demanding a proper water supply in our network.","یوُتاہ زِ اسہِ پیٚو پننِس نیٹ ورکَس مَنٛز آبٕچہِ منٲسِب فراہمی ہُنٛد مطالبہٕ کرنہٕ خٲطرٕ یتھ دفترَس برونٛہہ کٔنۍ احتجاج کرُن۔","conversation"
"After much hassle, we got that, but now the water coming from the pipes is very dirty.","کٲفی پریشٲنی پتہٕ، مِیوُل اسہِ یہِ ، مگر وۄنہِ چھٗ پایِپو مَنٛزِ سیٹھاہ مو٘كٗر آب یوان ۔","conversation"
"How dirty it is, can you explain?","کوٗتاہ مُکُر چھُ، ژٕ ہیٚککھا ؤنِتھ؟","conversation"
"Is it muddy, or does it have some sort of impurities?","کیٛا یہِ چھا رَبہِ دار، یا اتھ مَنٛز چھِ کینٛہہ مكرِیار ؟","conversation"
"It is muddy water, sir.","جناب، یہِ چھُ رَبہِ دار آب ۔","conversation"
"It also contains impurities.","اتھ مَنٛز چھِڮ مكرِیار تہِ۔","conversation"
"Many of the villagers had to suffer from skin allergies after using it.","واریٛاہ گامہٕ والٮ۪ن در٘ایہِ یہ استعمال کرنہٕ پتہٕ خٲرِش ۔","conversation"
"Oh, that is very serious.","اوہ، یہِ چھُ واریٛاہ سٔنجیٖدٕ۔","conversation"
"Yes, sir, it is very serious.","آ، جناب، یہِ چھُ واریٛاہ سٔنجیٖدٕ۔","conversation"
"We do not have clean water in our ponds and tube wells.","سانٮ۪ن تالابن تہٕ ٹیوب ویلن مَنٛز چھُنہٕ صاف آب۔","conversation"
"The water there contains an exceeding amount of iron.","تتہِ کِس آبَس مَنٛز چھُ واریٛاہ مقدارَس مَنٛز شستٕر ۔","conversation"
"But we have no other way than to use the pond and tube wells for now.","مگر اسہِ چھُنہٕ وٕنکٮ۪س تالاب تہٕ ٹیوب ویل آب استعمال کرنہٕ ورٲے کانٛہہ چارٕ۔","conversation"
"It is leading to serious health concerns.","امہِ سۭتۍ چھِ صحتٕکہِ خطرناک مسلہٕ گژھان۔","conversation"
"Did anyone fall sick after drinking the supplied water?","کیٛا کانٛہہ پیٚوا فراہم کرنہٕ آمُت آب چیٚنہٕ سۭتہِ بٮ۪مار ؟","conversation"
"No, sir, not yet; because we immediately stopped using it at all.","نہ، جناب، وُنہِ نہٕ، تِکیٛازِ اسہِ کوٚر دستی یہِ استعمال کرُن بنٛد ۔","conversation"
"After we saw the skin allergies occurring in many villagers, we stopped using it.","یُتھوٗیہ اسہِ کینٛژن ہ گٲمِین خٲرِش وٗچھ ، اسہِ کوٚر یہِ استعمال کَرُن بنٛد ۔","conversation"
"Otherwise, it could've easily caused us stomach ache and diarrhea-like diseases.","نتہٕ کرِہن اسہ امہِ سۭتہِ اسٲنی سان میادٕ دود تہٕ دستہٕ ہِشہِ بیمارِ ۔","conversation"
"I will forward your complaint to the supervisor immediately.","بہٕ سوزٕ فورن تہنٛز شکایت سپروائزرس ۔","conversation"
"He will send someone to inspect the situation right after that.","سُہ سوزِ تمہِ پتہٕ جلدی کٲنٛسہ حالَتن ہٗند مویعنہٕ کرنہٕ خٲطرٕ۔","conversation"
"You can go home now.","توہہِ ہیكِیو٘ وونہِ گھرٕٕٕ گٔژھِتھ ۔","conversation"
"I will do the rest.","بہٕ کرٕ باقٕیہ پانٕیہ ۔","conversation"
"Heyy, I didn't see you at the usual spot","کیٛا سا ہے، مےٚ وٕچھُکھ نہٕ ژٕ پنٛنہِ جایہِ کِہیٖنہٕ","conversation"
"Where were you today?","ژٕ کتہِ اوسُکھ از؟","conversation"
"It looks like you're coming back from somewhere","باسان چھُم ژٕ چھُکھ کتہِ تام پٮ۪ٹھٕ واپس یِوان","conversation"
"Where did you go?","ژٕ کوٚت اوسُکھ گوٚمُت؟","conversation"
"Long story, give me some time","یہ چھیٚے زیٖٹھ دلیل ، مےٚ دِ کٮ۪نٛہہ وقت","conversation"
"I just need to change into these","مےٚ چھِ یِمن منز بدلاوٕٗن ۔","conversation"
"Speaking of clothes, yours look ragged and dirty","پلون ہنز كتھ كرو ، شٕ چھٗكھ زچین منز تہٕ مكٲرِ باسان ۔","conversation"
"Which is exactly why I'm changing it before coming into the village","اوے چھِ مےٚ گام یِنہٕ برٛۄنٛہہ یہِ بدلاوُن","conversation"
"And I can't come to our usual spot anymore","تہٕ بیٚیہِ ہٮ۪کہٕ نہٕ وۄنہِ سانہِ عام جایہ یتھ","conversation"
"Can't afford to get cigarettes every week","مےٚ چھُ نہٕ پرٛٮ۪تھ ہفتہٕ سِگریٹ انٛنس سُمب طاقت","conversation"
"I'm trying to quit smoking","بہٕ چھُس سِگریٹ ترٛاونٕچ کوُشِش کران","conversation"
"Wow, that was unexpected","اوہ، امِچ ٲس نہٕ نے وۄمیدٕیہ","conversation"
"And to answer your earlier question","تہٕ چٲنِس برٛؤٖن٘ہمِس سوالس جواب دِنہِ مو٘كھہٕ","conversation"
"I just returned from the nearby village","بہٕ آس وٕنی ہمسایہِ گامہٕ پٮ۪ٹھٕ واپس","conversation"
"The recent rains washed away the usable road so I had to hitch hike","حالیہ روٗدن ٲس سٲرٕے پکنٕچ وتھ ییرٕ وٲجِمٕژ لہاذا پیو مے٘ وٗلمنین كھسِتھ یٗن ۔","conversation"
"Why are you going there though?","مگر ژٕ کیٛازِ چھُکھ تور گژھان","conversation"
"You could've always asked me if you wanted help with something","ژٕ ہٮ۪کہٕ ہکھ مےٚ ہمیشہِ کُنہِ تہِ چیزٕ باپت مدتہٕ باپتھ ونِتھ ساتہٕ ؤنِتھ ۔","conversation"
"Cannot expect you to help me here","ژٕ ہٮ۪کہٕ ہٲکھ نہٕ مےٚ یتھ منٛز کانٛہہ مدتھ کٔرِتھ","conversation"
"I go there every other morning to play football","بہٕ چھُس پرٛٮ۪تھ دۄہ تور فٹ بال گِنٛدنہِ گژھان","conversation"
"There's a ground with goal posts and nets on the other side of that village","امہِ گامہٕ کِس ہیِس طرفس پٮ۪ٹھ چھُ فُٹ بال مٲدان یتھ منٛز گول پوسٹ تہٕ نٮ۪ٹ لٲگِتھ چھِ ۔","conversation"
"Since the area is public property, anyone can come and play","تہٕ اور ہیٚکہِ کانٛہہ تہِ یتھ تہٕ گِنٛدِتھ تہِ کیٛازِ یہِ علاقہٕ چھُ عوٲمی جایداد ۔","conversation"
"So you go early to get space and time to play, right?","تیٚلہِ چھُکھ ژٕ سُلی گژھان یُتھ ژےٚ گِنٛدنہٕ خٲطرٕ جاے تہٕ وق میٛلی، سہی چھا ؟","conversation"
"Exactly, I have to get there at least by 7:30","آ برابر، مےٚ چھُ تور ساڑٕ ستھ واتُن آسان","conversation"
"Which means I have to leave home by 5","ییٚمیُک مطلب چھُ کہِ مےٚ چھُ گرِ آسان پانٛژِ بجہِ نیرُن","conversation"
"It's very hectic but what can we do, eh?","یہِ چھُ سخ مگر اتھ کیٛاہ ہٮ۪کو کٔرِتھ، ہٲں؟","conversation"
"There is literally not a single unused open space in this village","سٲنِس گامس منٛز چھےٚ نہٕ اکھ تہٕ خٲلی جاے","conversation"
"Well I suppose that is true","آ، مےٚ چھُ باسان یی چھُ پوٚز","conversation"
"Did you try asking the elders about whether they could clear up a space?","ژےٚ کٔرتھٕ زِٹھٮ۪ن پرٛژھنٕچ کوٗشِش زِ اسہِ أسۍ ہٮ۪کو کانٛہہ جاے صاف کرنٲوِتھ؟","conversation"
"No, why would they even bother?","نا ، تِم کیٛازِ ہین پریشٲنی ؟","conversation"
"They are too caught up in their political and religious ideologies","تِم چھِ پنٛنِس سِیاستی تہٕ مزہبی فلسفس سٕتی","conversation"
"Even my own family wants me to stop going to school and start working to earn money","میانہِ گھرِكہِ تام چھِ یژھان بہٕ گوٚژھُژس سکوُل ترٛٲوِتھ پونٛسہٕ زینٛنہٕ خٲطرٕ کٲم کرنہِ نیرُن","conversation"
"Do you think they'll encourage me to pursue football?","ژےٚ چھُیہِ باسان تِم دِن مےٚ فُٹ بال گِنٛدنہِ باپت حوصلہٕ افضٲیی كرِتھ ۔؟","conversation"
"I understand that, it's very sad","بہٕ چھُس سمجِتھ ہیكان، سیٹھاہ افسوُس ۔","conversation"
"We don't even have the resources to properly play anything here actually","پٮ۪ٹھٕ چھِنہٕ اَسہِ ییٚتہِ کانٛہہ کھیل گِنٛدنٕکہِ وسٲیِل تہِ مو٘یسر","conversation"
"I'm saving up my pocket money to buy some boots","بہٕ چھُس چندٕ خرچہٕ بچاوان یُتھ بہٕ بوٗٹ أنِتھ ہٮ۪کہٕ","conversation"
"Then I'll aim for the try-outs","پتہٕ کرٕ بہٕ ٹرٛاے آوٹس خٲطرٕ کوٗشِش","conversation"
"Let's see what happens","وٕچھَو کیٛاہ بنہِ","conversation"
"Did you watch this year's Wrestlemania?","ژےٚ وُچھتھٕ ییٚمہِ ؤرۍیُک رٮ۪سٕل مینیا؟","conversation"
"It felt different somehow, but with Rhodes's return, it was definitely something enjoyable.","یہِ اوس گۄڑٕ رژھا الگٕیہ باسان، مگر روڈس سٕنٛدِ واپس یِنہٕ سۭتہِ بنیوو یہٕ زیٛادے مزٕدار۔","conversation"
"I generally don't watch a lot of wrestling but I was looking forward to Wrestlemania this year.","بہٕ چھُس نہٕ یتھ پٲٹھہِ زیٛادٕ رپہلوان دب وٗچھان ، مگر ییٚمہِ ؤری اوسُس بہٕ رٮ۪سٕل مینیاہس پیٛاران۔","conversation"
"I couldn't watch it however and just saw the highlights later.","تاہم ہیوٚکُس نہٕ بہٕ یہِ وٕچھِتھ تہٕ پتہٕ وٕچھِم امِکہِ اقتباسات ۔","conversation"
"I didn't know where it was available.","مےٚ نہٕ پیی یہِ کتھ پٮ۪ٹھ اوس چلان۔","conversation"
"I thought there was a live stream on Youtube.","مےٚ باسان یوُ ٹیوٗبس پٮ۪ٹھ آسہِ یہِ براہ راست چلان ۔","conversation"
"But I watched it on Sony Ten 1.","مگر مےٚ وُچھ یہِ سونی ٹٮ۪ن ونس پٮ۪ٹھ۔","conversation"
"It was also streamed live on the WWE network.","یہِ آو براہ راست ڈبلیوٗ ڈبلیوٗ ای نٮ۪ٹؤرکس پٮ۪ٹھ چلان ۔","conversation"
"Oh, I didn't know it was available on the Sony channel.","اچھا، مےٚ ٲس نہٕ پَتاہ یہِ اوس سونی چنلہِ پٮ۪ٹھ چلان۔","conversation"
"It was actually the highlight for 2 days and played throughout the day.","یہِ اوس در اصل دۄن دۄہن خٲطرٕ ہاے لایٹ تہٕ یہِ اوس پوٗرٕ دۄہس گِنٛدنہٕ یوان۔","conversation"
"You can also watch it in Hindi on Sony Ten 3.","ژٕ ہٮ۪کَکھ یہِ ہِندی پٲٹھہِ سونی ٹٮ۪ن تھرِیس پٮ۪ٹھ تہِ وٕچھِتھ۔","conversation"
"I missed it then.","مےٚ گوٚو یہِ تیٚلہِ اتھٕہٕ ۔","conversation"
"I'll try to catch the next one when it comes.","بہٕ کرٕ کوٗشِش بیٛاکھ وٕچھنٕچ، ییٚلہِ سہُ یِیہِ۔","conversation"
"I always wanted to try and watch the whole live event but most channels here don't cover it.","بہٕ اوسُس پرٛٮ۪تھ وِزِ یژھان سورٖیہ براہ راست ؤٖچھنٕچہ، کوٗشِش کرٕنہِ مگر ییٚتہِ چہِ زیٛادٕ تر چنلہٕ چھنہٕ یہِ ہاوان۔","conversation"
"Yes, but you don't have to wait for the next Wrestlemania to watch another live event.","آ، مگر ژےٚ چھیٚے نہٕ بیٛاکھ لایو تقریب وٕچھنہٕ خٲطرٕ دوٚیمِس رٮ۪سٕل مینیاہس پیٛارنٕچ ضوٚروٗرت۔","conversation"
"Wrestlemania Backlash 2022 will take place at 8 PM on May 8th in the USA.","رٮ۪سٕل مینیا بیکلٮیش 2022 ییہِ ا،بیكاہس منٛز ۸ میی دۄہ شامس 8بجے گِنٛدنہٕ۔","conversation"
"So that will be May 9th in India and the event will start at 5:30 am.","تیٚلہِ گوٚو سہُ ہنٛدوستانس منٛز ۹ میی تہٕ یہِ پرٛوگرام گژھِ صُبحس 5:30 بجے شروٗع۔","conversation"
"I hope I get to watch it.","مےٚ چھےٚ وۄمید مےٚ یِیہِ سہُ وٕچھنہٕ۔","conversation"
"It will be difficult though, May 9th is a monday.","یہِ چھُ مگر مُشکِلٕیہ 9 میی چھےٚ ژٔنٛدٕروار۔","conversation"
"But it'll take quite long so you may still be able to watch a few hours of the show.","مگر یہِ چلہِ واریاہس کالس، گوٚو ژٕ ہٮ۪ککھ امہِ شو ہٕكہِ کٮ۪نٛہہ گٲنٛٹہٕ وٕچھِتھ۔","conversation"
"What are the main events in the Backlash?","بیکلیشس منٛز کم چھِ اہم پرٛوگرام؟","conversation"
"The event will feature AJ Styles going against Edge and Seth Rollins battling Cody Rhodes.","تقریبس منٛز آسہِ اے جے سٹایِلز سٗند اٮ۪جس خٕلاف میچ تہٕ سٮ۪ٹھ رولِنز تہٕ کوڑی روڈس سٕنٛز لڑٲے۔","conversation"
"It is going to be a big deal after Rhodes's return this year, the fans are excited.","یہِ بنہِ بڑ کتھ ییٚلہِ روڈس ییمہِ ورییہِ واپس یِیہِ، سٲری مداع چھِ خۄش۔","conversation"
"Are there any exciting tag matches?","اتھ منٛز چھا کٮ۪نٛہہ اصٕل ٹیگ میچ؟","conversation"
"Actually yes, there will be a six-man tag team match going on in the event.","آ، اتھ تقریبس منٛز یِیہِ اکھ شہُ نفری ٹیگ ٹیٖم میچ گِنٛدنہٕ۔","conversation"
"Roman Reigns and the Usos will be going against Drew McIntyre and RK-Bro.","رومن ریٖنز تہٕ اُسوس گِندن ڈرٛیو مکلنٹایر تہٕ آر کے برٛوہس خٕلاف۔","conversation"
"Those people hold a lot of titles.","تِمن سارۍنٕے چھِ بٔڑِ خٕطاب میلِمٕتہِ ۔","conversation"
"Isn't Roman Reigns the WWE Universal Champion?","رومن ریٖنز چھُنا ڈبلبوٗ ڈبلیوٗ ای یوٗنِؤرسل چمپین؟","conversation"
"Yes, and the Usos are Smackdown Tag-team Champions and RK-Bro is the Raw Tag Team Champions.","آ، تہٕ بیٚیہِ چھِ اُسوس چھِ سمیک ڈاون ٹیگ ٹیٖم چمپین تہٕ آر کے برٛو چھُ را ٹیگ ٹیٖم چمپین۔","conversation"
"However, this one is not a title match, but the fans are excited.","تام، چھُنہِ یہِ اکھ خِتٲبی میچ کٮ۪نٛہہ تہٕ مگر مداع چھِ خۄش۔","conversation"
"Both sides are fan favourites and Randy Ortons v/s Reigns must be something fans are looking forward to.","دۄشؤے دٔرِ چھِمداعن ہندِ پسنٛدیدٕ تہٕ رینٛڈی آرٹنز براے ریٖنز گژھِ سہُ میچ آسٗن یتھ مداع پیٛاران چھِ۔","conversation"
"Yes, so try it and watch it if possible, but it is somewhat difficult because of the time.","آ، تیٚلہِ کٔر کوُشِش تہِ اگر مُمکِن گژھی وٗچھ ، مگر وقتہٕ حسابہٕ چھُ یہِ رژھا مُشکِلٕے۔","conversation"
"Hi Dimpi! How are you?","ہے ڈِمپی! ژٕ چھکھے وارے؟","conversation"
"It has been a while since we talked last.","اسہِ ہے گوٚو کتھ کرنس واریاہ کال۔","conversation"
"Is everything okay at your end?","تُہۍ چھِوٕ ٹھیٖکھٕے۔","conversation"
"Hi Devanga! I am good.","ہے دیوانٛگا! بہِ چھس وارے۔","conversation"
"Yes, it has been quite a while.","آ،واریاہ وقت گوٚو ۔","conversation"
"Everything is good here except my cousin brother.","ییٚتہِ چھُ سورُے ٹھیٖک میٲنِس پِترِس بٲیہ سٕنٛدِ ورٲیہ۔","conversation"
"Oh! What happened to him?","اوہ، تس کیٛاہ گو٘؟","conversation"
"I haven't heard anything from anyone.","مےٚ بُز نہٕ كٲن٘سہِ نِش كین٘ہہ۔","conversation"
"Is he okay now?","وۄنہِ چھا سہُ ٹھیٖک؟","conversation"
"He met with an accident last fortnight.","تٔمِس گوٚو پٔتِمِس پچھس منز حٲدِشہٕ ۔","conversation"
"Now recovering well by God's grace.","وۄنۍ چھُ خۄداے سٕنٛدِ مدتہٕ سۭتہِ صحتیاب سپدان ۔","conversation"
"Thank God that the health insurance covered the expenses.","خۄداے سُنٛد شُکُر چھُ کہِ سورُے خرچہٕ تُل صحت بھیمن ۔","conversation"
"Glad to hear that he is recovering.","لو یہِ بوزنہٕ سٕتہِ گوس خوش زِ سہُ چھُ ٹھیٖک گژھان۔","conversation"
"What was the health insurance?","صحت بییمہٕ كیا اوس ؟","conversation"
"I am also thinking of buying one health insurance.","بہٕ چھُس سونٛچان بہٕ تہٕ ہیمہِ اكھ صحت بیمہٕ ۔","conversation"
"His health insurance was Star Health Insurance.","تٔمِس اوس سٹار ہٮ۪لتھ انشورنس بیمہٕ ۔","conversation"
"He bought a family floater insurance.","تٔمۍ ہیوٚت فیملی فلوٹر اِنشورنس۔","conversation"
"It covers upto 5 family members.","یہِ چھُ گرٕ کٮ۪ن پانٛژن نفرن تحفُظ دِوان۔","conversation"
"What is the premium amount?","پریٖمیم رقم کیٛاہ چھُ؟","conversation"
"Do we have to renew it monthly?","یہِ چھا رٮ۪تہٕ پتہٕ رٮ۪تہٕ رِنیُو کرُن؟","conversation"
"How can we buy that?","ٲسۍ کِتھہٕ پٲٹھہِ ہٮ۪کَو یہِ ہٮ۪تھ؟","conversation"
"Does it offer cashless hospitalization facility?","یہِ چھا دِوان کیشہِ روٚس ہسپتال سہوُلِیات دِوان ؟","conversation"
"The premium varies based on the plan you opt for.","پرٛیٖمیم چھُ پلانہِ کہِ انتِخابہٕ حِسابہٕ بدلان؟","conversation"
"You can choose from a number of plans.","ژٕ ہٮ۪کَکھ وارِیاہو٘ پلانو منٛزٕ کانٛہہ اکھ ژٲرِتھ ۔","conversation"
"The details can be found online.","تفصیٖلات چھِ آن لاین دٔستِیاب۔","conversation"
"You can pay the premium monthly, quarterly, six-monthly or annually.","ژٕ ہٮ۪ککھ پرٛیٖمیم ریٚتہِ ،ترٛیٚیہِ ریٚتہِ ، شیٚیہِ ریٚتہِ ، یا وٕہٕرۍ بٔرِتھ ۔","conversation"
"Yes, this insurance provides cashless hospitalization facility through their network hospitals.","آ، یہِ اِنشورنس چھُ نقدی رو٘س ہاسپِٹلایزیشن سہوٗلیت پنٛنٮ۪و نٮ۪ٹ ؤرک ہسپتالو ذٔریع فرہم کران۔","conversation"
"They have more than 500 hospitals under their network all over India.","تمن چھِ پنٛنِس نٮ۪ٹ ؤرکس انٛدر سٲرِسٕیہ ہندوستانس منٛز 500 ہسپتال ۔","conversation"
"That sounds really good!","یہِ ہے گوٚو سٮ۪ٹھاہ جان!","conversation"
"Cashless hospitalization facility eases the stress at the time of admission to a hospital.","نقدی روٚس ہاسپِٹلایزیشن سہوٗلیت چھےٚ ہسپتالس منٛز دٲخِلُک تناو کم کران۔","conversation"
"We don't have the cash all the time.","اسہِ چھُ نہٕ چنٛدس پرٛٮ۪تھ ساتہٕ نقد پونٛسہٕ آسان ۔","conversation"
"Most importantly, we don't know when and how misfortune knocks at our doors.","سارِوٕیہ کھۄتہٕ اہم ،اسہِ چھنہٕ پے آسان زِ بدقٕسمٔتی کر تہٕ کِتھہٕ کٔنہِ كرِ اسہِ برس ٹھس ۔","conversation"
"Do we need to produce any medical certificate at the time of enrolling?","اسہِ چھا درج گژھنہٕ وِزِ کانٛہہ میٚڈِکل سرفِٹِکٹ پٮ۪وان ہاوٕنہِ ؟","conversation"
"No medical certificate is needed for applicants whose age is not more than 40.","یمن درخاصت کرن والٮ۪ن ہٕنٛز وٲنٛس ژتجی ؤری کھۄتہٕ کم آسہِ ، تِمن چھنہٕ کانٛہہ تہِ میٚڈِکل سرفِٹِکٹ ضروُرت ۔","conversation"
"You will have to declare about your pre-existing diseases if any in the form.","ژےٚ پیٚیی فارمس منٛز پنٛنٮ۪ن گۄڑے آسمٕژن بٮ۪مارٮ۪ن ہُنٛد خُلاصہٕ کرُن، اگر کانٛہہ آسہِ۔","conversation"
"The enrollment process is a easy one.","درج گژھنٕچ عمل چھےٚ اکھ سہل عمل۔","conversation"
"Can I buy this insurance online?","بہٕ ہٮ۪کا یہِ انشورنس آن لاین ہٮ۪تھ؟","conversation"
"When can I expect the policy copy in hand?","مےٚ کر میلہِ پالسی ہٕنٛز کاپی اتھس منٛز؟","conversation"
"Do they send it by post?","یم چھا ڈاکہٕ ذٔریع یہِ سوزان؟","conversation"
"Yes, you can buy it online.","آ، ژٕ ہٮ۪ککھ یم آن لاین ہٮ۪تھ۔","conversation"
"After making the payment online, they will send you the soft copy of the policy in your mail.","آن لاین پونٛسہٕ بٔرِتھ ، سوزنے تِم چٲنِس میلس منٛز پالسی ہٕنٛز سافٹ کاپی۔","conversation"
"A hard copy of the same will reach you via post.","تہٕ امِچ ہارڈ کاپی واتی ژےٚ ڈاکہٕ کہِ ذٔریع۔","conversation"
"Please visit their website for details.","تفصیٖلاتن خٲطرٕ وٕچھ ژٕ تمن ہٕنٛز وٮ۪ب سایٹ۔","conversation"
"I am sending you the link.","بہٕ سوزے ژےٚ لِنٛک۔","conversation"
"It's Goa, baby!!!","بیبی ،یہِ چھُ گوا !!!","conversation"
"I can't believe we're finally going.","مےٚ چھُنہٕ بیہانٕیہ اسہِ چھٗ چھیكرس گژھٗن ۔","conversation"
"This is like the seventh time we planned.","یہِ چھُِ اسہِ سٔتمہِ لَٹہِ منصوُبہٕ بناوان ۔","conversation"
"This is totally Dil Chahta Hai vibes.","یہِ چھِ پوٗرٕ پٲٹھہِ دل چاہتا ہے لہرٕ ۔","conversation"
"And it is finally happening.","تہٕ یہِ سپدِ ٲخٕر کار۔","conversation"
"If only it was convertible and also red!","اگر یہِ صرف بدلَن وول تہٕ بیٛیہِ ووزٗل آسہے!","conversation"
"I know, right?","مےٚ چھِ پتہ، چھٗنا؟","conversation"
"It feels super amazing.","یہِ چھُ واریٛاہ اصل باسان۔","conversation"
"So, do we have a plan for the journey?","تہٕ، کیٛاہ اَسہِ چھےٚ سفر کرنُک منصوُبہٕ ؟","conversation"
"Don't judge me, but this is my first ever road trip.","مےٚ مَہ کٔرِو سرٕ ، مگر یہِ چھُ مے٘ گوڈنِیوٗك سڈكہِ چكر ۔","conversation"
"We will listen to the best playlist I made last night.","أس بوزو ساروٕے کھۄتہٕ اصل پلیے لسٹہٕ، یُس مےٚ راتھ شامَس بنٛوٚو۔","conversation"
"Take turns in driving.","وارِ وارِ چلٲوِو گٲڈِ ۔","conversation"
"And make stops for the most amazing pictures.","تہٕ واریٛاہ اصل فوٹو تُلنہٕ خٲطرٕرُکَو ۔","conversation"
"Because the views en route are stunning.","تِکیٛازِ وتہِ چھِ واریٛاہ خوٗبصورت نظارٕ ۔","conversation"
"I hope you have all the Bollywood road trip songs.","بہٕ چھُس وۄمیٖد زِ ژے آسنیہ بالی ووڈٕکہِ سٲری روڑ ٹرپ بٲتھ ۔","conversation"
"Ain't no road trip without ZNMD and Dil Chahta Hai songs.","کانٛہہ تہِ روڈ ٹرپ چھَنہٕ زیڈ این ایم ڈی تہٕ دل چاہتا ہے بٲتو٘ بغٲر آسان۔","conversation"
"Absolutely!","بالکُل صحیح!","conversation"
"I think Bollywood spoils us.","مےٚ چھُ باسان بالی ووڈ چھُ اَسہِ خراب کران۔","conversation"
"We try to compare every experience with it.","أس چھِ ہر کانٛہہ تجرُبہٕ اَتھ سۭتہِ رلاوان ۔","conversation"
"But it has set some standards too which is good.","مگر أمۍ چھِ کینٛہہ معیار تہِ بنٲوِمٕتہِ ، یِم اصل چھِ۔","conversation"
"Here, let's connect this.","ییٚتہِ، چلو یہِ جوڑو۔","conversation"
"I agree! My entire life revolves around Bollywood.","بہٕ چھُ اتعفاق ! میٲنہِ پوٗرٕ زنٛدگی چھےٚ بالی ووڈَس أنٛدِ پٔکہِ نژان۔","conversation"
"So, how long is the drive?","تہٕ، کوٗتاہ دوٗر چھُ؟","conversation"
"Is there anything we can do on the way, other than clicking pictures?","بیٚیہِ چھا کینٛہہ یہِ أسہِ وَتہِ فوٹو تُلنہٕ علاوٕ کٔرِتھ ہٮ۪کو؟","conversation"
"Wait! I just realized that you said it's your first road trip.","ٹھہر ! مےٚ تو٘ر وٗنہِ فِكرِ یہِ چھٗ چون گوڈنِیوٗك سڈك سفر ۔","conversation"
"Seriously?","پٔزِ پٲٹھہِ ہا ؟","conversation"
"If so, we have got to make it a memorable one.","اگر یہِ چُھ، اَسہِ پَزِ یہِ تیٚلہِ واریٛاہ یادگار بناوٗن ۔","conversation"
"You have to! I want this experience to be one of a kind.","ژے چھٗیہ بناوٗن ! بہٕ چھُس یژھان یہِ تحرُبہٕ پننہِ قٕسمٗك خاص بناوُن۔","conversation"
"I don't know when will I get to do this again.","مے چھَنہٕ پتہٕ بہٕ کَر ہیكہِ یہِ دٗبارٕ كرِتھ ۔","conversation"
"I am very used to Trains and Flights.","مے٘ چھے٘ ریلن تہٕ ہوٲیی جہازن كھسنس حٲل ۔","conversation"
"Aren't they more convenient?","چھِنا تِم واریٛاہ آرام دہ ؟","conversation"
"Especially when the trip is shorter.","خاصكرِتھ ییٚلہِ سفر ژھو٘ٹ آسہِ ۔","conversation"
"I find road trips way more convenient.","مےٚ چھُ سڈكہِ سفر واریٛاہ آسان باسان۔","conversation"
"And they actually transition you into a holiday.","تہٕ تِم چھِ حٔقیٖقتَس منٛز تۄہہِ چھُٹیَن تام نِوان ۔","conversation"
"So you can feel more relaxed.","اسلیے ہٮ۪کَکھ ژٕ آرام محصوص كرِتھ ۔","conversation"
